ICD CODE,DESCRIPTION
K13,other diseases of lip and oral mucosa
B01,varicella [chickenpox]
E22,hyperfunction of pituitary gland
M25,"other joint disorders, not elsewhere classified"
D64,other anaemias
M79,"other soft tissue disorders, not elsewhere classified"
B96,other bacterial agents as the cause of diseases classified to other chapters
D45,polycythaemia vera
K59,other functional intestinal disorders
H57,other disorders of eye and adnexa
L98,"other disorders of skin and subcutaneous tissue, not elsewhere classified"
M62,other disorders of muscle
E13,other specified diabetes mellitus
H42,glaucoma in diseases classified elsewhere
N94,pain and other conditions associated with female genital organs and menstrual cycle
K03,other diseases of hard tissues of teeth
H62,disorders of external ear in diseases classified elsewhere
O24,diabetes mellitus in pregnancy
T17,foreign body in respiratory tract
E61,deficiency of other nutrient elements
Z32,pregnancy examination and test
N39,other disorders of urinary system
D52,folate deficiency anaemia
A07,other protozoal intestinal diseases
S99,other and unspecified injuries of ankle and foot
B372,candidiasis of skin and nail
L401,generalised pustular psoriasis
M659,unspecified synovitis and tenosynovitis
S909,"superficial injury of ankle and foot, unspecified"
S93,"dislocation, sprain and strain of joints and ligaments at ankle and foot level"
S668,injury of other muscles and tendons at wrist and hand level
S69,other and unspecified injuries of wrist and hand
C20,malignant neoplasm of rectum
O000,abdominal pregnancy
M673,transient synovitis
L519,"erythema multiforme, unspecified"
O921,cracked nipple associated with childbirth
L430,hypertrophic lichen planus
B352,tinea manuum
Q7414,genu valgum
M2127,"flexion deformity, ankle and foot"
M6798,"unspecified disorder of synovium and tendon, other site"
S829,"fracture of lower leg, part unspecified"
M1257,"traumatic arthropathy, ankle and foot"
S6263,fracture of distal phalanx
Z351,supervision of pregnancy with history of abortive outcome
M7981,"other specified soft tissue disorders, shoulder region"
S924,fracture of great toe
M2586,"other specified joint disorders, lower leg"
E569,"vitamin deficiency, unspecified"
D529,"folate deficiency anaemia, unspecified"
N433,"hydrocele, unspecified"
S6231,fracture of base of other metacarpal bone(s)
S723,fracture of shaft of femur
S625,fracture of thumb
O218,other vomiting complicating pregnancy
Z355,supervision of pregnancy with advanced maternal age
Z3551,supervision of primigravida with advanced maternal age
L43,lichen planus
O2411,"pre-existing diabetes mellitus, type 2, in pregnancy, non-insulin treated"
O06,unspecified abortion
T1103,"insect bite of upper limb, level unspecified"
O241,"pre-existing diabetes mellitus, type 2, in pregnancy"
O48,prolonged pregnancy
L731,pseudofolliculitis barbae
O360,maternal care for rhesus isoimmunisation
O209,"haemorrhage in early pregnancy, unspecified"
B018,varicella with other complications
L814,other melanin hyperpigmentation
N952,postmenopausal atrophic vaginitis
O262,pregnancy care of habitual aborter
L719,"rosacea, unspecified"
N849,"polyp of female genital tract, unspecified"
O469,"antepartum haemorrhage, unspecified"
S6083,insect bite of wrist and hand
O369,"maternal care for fetal problem, unspecified"
L292,pruritus vulvae
R619,"hyperhidrosis, unspecified"
L80,vitiligo
L562,photocontact dermatitis [berloque dermatitis]
O099,unspecified duration of pregnancy
O16,unspecified maternal hypertension
J458,mixed asthma
A069,"amoebiasis, unspecified"
K2980,"duodenitis, without mention of haemorrhage"
L232,allergic contact dermatitis due to cosmetics
K5730,"diverticulosis of large intestine without perforation, abscess or mention of haemorrhage"
Q02,microcephaly
M6099,"unspecified myositis, site unspecified"
D1803,"haemangioma, structures of the hepatobiliary system and pancreas"
B002,herpesviral gingivostomatitis and pharyngotonsillitis
K746,other and unspecified cirrhosis of liver
R091,pleurisy
A740,chlamydial conjunctivitis
D1800,"haemangioma, unspecified site"
J370,chronic laryngitis
A38,scarlet fever
S4224,fracture of greater tuberosity of humerus
S431,dislocation of acromioclavicular joint
S52,fracture of forearm
K003,mottled teeth
S8310,"dislocation of knee, unspecified"
O450,premature separation of placenta with coagulation defect
O40,polyhydramnios
F539,"puerperal mental disorder, unspecified"
M4781,"other spondylosis, occipito-atlanto-axial region"
M0649,"inflammatory polyarthropathy, site unspecified"
S2206,"fracture of thoracic vertebra, t11 and t12 level"
S9223,"fracture of cuneiform, foot"
S8282,"trimalleolar fracture, ankle"
I951,orthostatic hypotension
H82,vertiginous syndromes in diseases classified elsewhere
S601,contusion of finger(s) with damage to nail
N342,other urethritis
M5493,"unspecified dorsalgia, cervicothoracic region"
H610,perichondritis of external ear
L235,allergic contact dermatitis due to other chemical products
S526,fracture of lower end of both ulna and radius
M4183,"other forms of scoliosis, cervicothoracic region"
Z240,need for immunisation against poliomyelitis
M8988,"other specified disorders of bone, other site"
B302,viral pharyngoconjunctivitis
N841,polyp of cervix uteri
B829,"intestinal parasitism, unspecified"
M8580,"other specified disorders of bone density and structure, multiple sites"
M8108,"postmenopausal osteoporosis, other site"
R065,mouth breathing
K921,melaena
S8352,sprain and strain of posterior cruciate ligament
M8100,"postmenopausal osteoporosis, multiple sites"
N812,incomplete uterovaginal prolapse
R198,other specified symptoms and signs involving the digestive system and abdomen
E288,other ovarian dysfunction
M6746,"ganglion, lower leg"
N810,female urethrocele
M8180,"other osteoporosis, multiple sites"
O069,"unspecified abortion, complete or unspecified, without complication"
L858,other specified epidermal thickening
L570,actinic keratosis
M759,"shoulder lesion, unspecified"
K922,"gastrointestinal haemorrhage, unspecified"
N10,acute tubulo-interstitial nephritis
K4030,"unilateral or unspecified inguinal hernia, with obstruction, without gangrene, not specified as recurrent"
M4692,"unspecified inflammatory spondylopathy, cervical region"
M4120,"other idiopathic scoliosis, multiple sites in spine"
R36,urethral discharge
S899,unspecified injury of lower leg
B008,other forms of herpesviral infection
Z962,presence of otological and audiological implants
S422,fracture of upper end of humerus
O20,haemorrhage in early pregnancy
S322,fracture of coccyx
L238,allergic contact dermatitis due to other agents
K904,"malabsorption due to intolerance, not elsewhere classified"
L248,irritant contact dermatitis due to other agents
K075,dentofacial functional abnormalities
Z470,follow-up care involving removal of fracture plate and other internal fixation device
L738,other specified follicular disorders
N910,primary amenorrhoea
R87,abnormal findings in specimens from female genital organs
P026,fetus and newborn affected by other and unspecified conditions of umbilical cord
L649,"androgenic alopecia, unspecified"
S711,open wound of thigh
B080,other orthopoxvirus infections
S968,injury of other muscles and tendons at ankle and foot level
B358,other dermatophytoses
K062,gingival and edentulous alveolar ridge lesions associated with trauma
S7300,"dislocation of hip, unspecified"
L819,"disorder of pigmentation, unspecified"
Z014,gynaecological examination (general)(routine)
O23,infections of genitourinary tract in pregnancy
Z230,need for immunisation against cholera alone
S16,injury of muscle and tendon at neck level
S8181,open wound (of any part of lower leg) communicating with a fracture
K032,erosion of teeth
L608,other nail disorders
O439,"placental disorder, unspecified"
N91,"absent, scanty and rare menstruation"
S8083,insect bite of lower leg
O00,ectopic pregnancy
O240,"pre-existing diabetes mellitus, type 1, in pregnancy"
N951,menopausal and female climacteric states
O349,"maternal care for abnormality of pelvic organ, unspecified"
O365,maternal care for poor fetal growth
O141,severe pre-eclampsia
O120,gestational oedema
O21,excessive vomiting in pregnancy
O033,"spontaneous abortion, incomplete, with other and unspecified complications"
L816,other disorders of diminished melanin formation
O03,spontaneous abortion
O212,late vomiting of pregnancy
L63,alopecia areata
N600,solitary cyst of breast
O102,"pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium"
N883,incompetence of cervix uteri
T793,"post-traumatic wound infection, not elsewhere classified"
S5083,insect bite of forearm
Z356,supervision of (very) young primigravida
N701,chronic salpingitis and oophoritis
B852,"pediculosis, unspecified"
L942,calcinosis cutis
B359,"dermatophytosis, unspecified"
R234,changes in skin texture
L281,prurigo nodularis
A663,hyperkeratosis of yaws
I341,mitral (valve) prolapse
I214,acute subendocardial myocardial infarction
N710,acute inflammatory disease of uterus
B059,measles without complication
L291,pruritus scroti
L506,contact urticaria
T2129,"partial thickness [blisters, epidermal loss] burn of other sites of trunk"
L890,stage i decubitus ulcer and pressure area
R688,other specified general symptoms and signs
F52,"sexual dysfunction, not caused by organic disorder or disease"
M7958,"residual foreign body in soft tissue, other site"
J128,other viral pneumonia
Z115,special screening examination for other viral diseases
M6216,"other rupture of muscle (nontraumatic), lower leg"
S05,injury of eye and orbit
S835,sprain and strain involving (anterior)(posterior) cruciate ligament of knee
M206,"acquired deformity of toe(s), unspecified"
N97,female infertility
T2124,"partial thickness [blisters, epidermal loss] burn of back [any part]"
F529,"unspecified sexual dysfunction, not caused by organic disorder or disease"
G809,"cerebral palsy, unspecified"
S13,"dislocation, sprain and strain of joints and ligaments at neck level"
I844,external haemorrhoids with other complications
W55,bitten or struck by other mammals
E539,"vitamin b deficiency, unspecified"
D518,other vitamin b12 deficiency anaemias
E298,other testicular dysfunction
E755,other lipid storage disorders
Z315,genetic counselling
N392,"orthostatic proteinuria, unspecified"
T030,"dislocations, sprains and strains involving head with neck"
Z03,medical observation and evaluation for suspected diseases and conditions
S9083,insect bite of ankle and foot
Z301,insertion of (intrauterine) contraceptive device
L211,seborrhoeic infantile dermatitis
D229,"melanocytic naevi, unspecified"
I420,dilated cardiomyopathy
I359,"aortic valve disorder, unspecified"
K00,disorders of tooth development and eruption
O10,"pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
K38,other diseases of appendix
O99,"other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
D57,sickle-cell disorders
R30,pain associated with micturition
S82,"fracture of lower leg, including ankle"
O34,maternal care for known or suspected abnormality of pelvic organs
O32,maternal care for known or suspected malpresentation of fetus
O002,ovarian pregnancy
N979,"female infertility, unspecified"
Z321 ,pregnancy
H162 ,keratoconjunctivitis
R102 ,pelvic
Z340 ,supervision
K810 ,acute
L298 ,other
M6261 ,muscle
M6598 ,unspecified
M6594 ,unspecified
R104 ,other
A099 ,gastroenteritis
E86 ,e86 volume depletion
K219 ,gastro-oesophageal
H103 ,acute
J00 ,j00 acute nasopharyngitis [common cold]
